Date,A,B,C
2016-08-31,18.787,16.340,11.541
2016-09-30,18.814,16.379,11.559
2016-10-31,18.547,16.281,11.578
2016-11-30,18.449,16.303,11.595
2016-12-31,18.719,16.719,11.614
2017-01-31,18.511,16.685,11.631
2017-02-28,18.745,17.004,11.647
2017-03-31,18.716,17.163,11.664
2017-04-30,18.803,17.281,11.681
2017-05-31,18.885,17.402,11.697
2017-06-30,18.830,17.365,11.714
2017-07-31,18.914,17.485,11.731
2017-08-31,18.995,17.511,11.748
2017-09-30,19.049,17.736,11.765
2017-10-31,19.303,18.070,11.782
2017-11-30,19.363,18.081,11.799
2017-12-31,19.278,18.096,11.816
2018-01-31,19.342,18.385,11.834
2018-02-28,19.245,18.072,11.848
2018-03-31,19.313,17.922,11.865
2018-04-30,19.421,18.203,11.881
2018-05-31,19.177,18.046,11.896
2018-06-30,19.242,18.016,11.912
2018-07-31,19.297,18.251,11.928
2018-08-31,19.143,18.070,11.943
2018-09-30,19.209,18.152,11.958
2018-10-31,18.908,17.498,11.973
2018-11-30,18.946,17.561,11.987
2018-12-31,18.750,17.000,12.002
2019-01-31,19.107,17.658,12.017
2019-02-28,19.200,17.916,12.031
2019-03-31,19.417,18.142,12.045
2019-04-30,19.587,18.520,12.059
2019-05-31,19.391,17.936,12.074
2019-06-30,19.811,18.504,12.088
2019-07-31,20.020,18.686,12.103
2019-08-31,20.146,18.583,12.116
2019-09-30,20.257,18.903,12.129
2019-10-31,20.243,19.022,12.142
2019-11-30,20.266,19.265,12.155
2019-12-31,20.303,19.476,12.168
2020-01-31,20.414,19.392,12.181
2020-02-29,20.055,18.597,12.193
2020-03-31,19.092,16.987,12.205
2020-04-30,19.453,17.754,12.217
2020-05-31,19.688,18.119,12.230
2020-06-30,19.949,18.524,12.242
2020-07-31,20.120,18.691,12.254
2020-08-31,20.320,19.188,12.266
2020-09-30,20.299,18.971,12.277
2020-10-31,20.244,18.714,12.289
2020-11-30,20.854,19.973,12.301
2020-12-31,20.996,20.287,12.313
2021-01-31,20.952,20.305,12.324
2021-02-28,20.991,20.603,12.334
2021-03-31,21.240,21.166,12.344
2021-04-30,21.329,21.432,12.355
2021-05-31,21.449,21.667,12.365
2021-06-30,21.554,21.909,12.376
2021-07-31,21.837,22.073,12.386
2021-08-31,21.906,22.372,12.397
2021-09-30,21.729,22.062,12.407
2021-10-31,21.859,22.518,12.417
2021-11-30,21.864,22.338,12.427
2021-12-31,21.970,22.775,12.437
2022-01-31,21.763,22.425,12.447
2022-02-28,21.470,21.953,12.456
2022-03-31,21.446,22.163,12.466
2022-04-30,21.020,21.649,12.475
2022-05-31,20.830,21.500,12.484
2022-06-30,20.215,20.533,12.494
2022-07-31,20.852,21.340,12.503
2022-08-31,20.225,20.815,12.512
2022-09-30,19.508,19.741,12.522
2022-10-31,19.833,20.299,12.531
2022-11-30,20.306,21.060,12.540
2022-12-31,19.760,20.381,12.549
2023-01-31,20.233,21.149,12.559
2023-02-28,20.075,21.002,12.568
2023-03-31,20.286,21.170,12.581
2023-04-30,20.327,21.221,12.594
2023-05-31,20.318,21.220,12.608
2023-06-30,20.457,21.652,12.622
2023-07-31,20.624,22.020,12.637
2023-08-31,20.569,21.753,12.653
